customerid,orderid,rank_id
2115708,15858620,11
2115708,15897150,12
2115708,15914433,13
2115708,15965151,14
2115708,15982503,15
2115708,16004095,16
2115708,16076588,17
2115708,16572701,18
2115708,16579758,19
2115708,17069892,20
2115708,17107767,21
2115708,17179642,22
2115708,17257696,23
2115708,17379517,24
2115708,17440129,25
2115710,14412405,1
2115710,15933466,2
2115710,16202720,3
2115712,14412486,1
2115714,15296712,1
2115715,14412631,1
2115720,14412460,1
2115720,14412512,2
2115720,14999855,3
2115720,15206281,4
2115720,15548515,5
2115721,17363983,1
2115721,17371717,2
2115721,17430513,3
2115722,14507435,1
2115723,17449690,1
2115725,14412462,1
2115734,14412967,1
2115735,14756967,1
2115735,14995108,2
2115739,15823999,1
2115739,15824146,2
2115739,15824250,3
2115740,14412762,1
2115748,14522983,1
2115755,14412813,1
2115758,14449039,1
2115761,14412818,1
2115772,14412831,1
2115773,14413011,1
2115773,15172760,2
2115773,16180807,3
2115773,17139105,4
2115779,14413264,1
2115779,14674646,2
2115779,14891144,3
2115779,15295133,4
2115779,15367048,5
2115779,15480028,6
2115779,15762888,7
2115779,15837755,8
2115779,16781045,9
2115781,14413282,1
2115782,14413160,1
2115783,15222841,1
2115784,14413075,1
2115784,14432804,2
2115784,14454809,3
2115784,14485678,4
2115784,14581498,5
2115785,14412963,1
2115785,14428111,2
2115785,14539407,3
2115785,14849399,4
2115785,15603260,5
2115785,16973783,6
2115789,14719805,1
2115791,14641689,1
2115791,14910318,2
2115792,14413137,1
2115795,14439378,1
2115797,14413370,1
2115799,15467603,1
2115799,16331154,2
2115799,16613975,3
2115800,14799832,1
2115801,14415156,1
2115802,14413146,1
2115802,14486015,2
2115802,14539081,3
2115802,14670633,4
2115802,14718717,5
2115802,14755517,6
2115802,16124463,7
2115804,14413165,1
2115804,16913922,2
2115805,14413258,1
2115805,16070072,2
2115807,14413359,1
2115813,14418564,1
2115813,14836968,2
2115815,14413464,1
2115816,15410895,1
2115816,15665312,2
2115816,16798056,3
2115816,17038513,4
2115818,14413298,1
2115819,15602815,1
2115819,15854507,2
2115819,15960351,3
2115819,16112827,4
2115819,16428157,5
2115819,16473109,6
2115819,16590220,7
2115822,14466916,1
2115824,17386761,1
2115825,14413781,1
2115826,14413477,1
2115826,14504223,2
2115826,14521644,3
2115826,14524514,4
2115826,14722893,5
2115826,15052827,6
2115826,15151602,7
2115826,15668563,8
2115826,16283671,9
2115826,16718665,10
2115826,16945024,11
2115826,17103897,12
2115826,17514655,13
2115828,14413550,1
2115828,16099438,2
2115830,15029253,1
2115830,15371881,2
2115832,15043720,1
2115832,16784367,2
2115832,17546009,3
2115834,14413762,1
2115837,14413636,1
2115837,14445567,2
2115837,14511971,3
2115837,14618281,4
2115837,14718979,5
2115837,15272630,6
2115837,15307441,7
2115837,15969275,8
2115837,16448209,9
2115837,17043523,10
2115837,17107906,11
2115838,14413789,1
2115838,14442633,2
2115838,14442765,3
2115838,14643103,4
2115838,15757768,5
2115838,16430708,6
2115838,16473511,7
2115838,16549481,8
2115838,17185826,9
2115838,17398411,10
2115842,14741168,1
2115843,14418011,1
2115845,14413692,1
2115846,14414594,1
2115851,16251220,1
2115851,16757382,2
2115857,14414003,1
2115860,16804661,1
2115870,14414033,1
2115872,14974596,1
2115873,14414375,1
2115877,14414529,1
2115879,14415129,1
2115883,14414195,1
2115883,15133934,2
2115883,16128082,3
2115883,16332916,4
2115883,16707298,5
2115884,14600777,1
2115884,15170072,2
2115884,15257232,3
2115884,15347545,4
2115884,15550669,5
2115884,15551491,6
2115884,15592746,7
2115884,15615279,8
2115884,16392056,9
2115884,16397841,10
2115884,16711775,11
2115884,16855756,12
2115884,16903803,13
2115886,14542336,1
2115886,14624850,2
2115886,15181151,3
2115886,15218984,4
2115891,14426341,1
2115891,14902443,2
2115891,15382052,3
2115891,15580923,4
2115891,16364220,5
2115891,17300291,6
2115895,15203812,1
2115895,15237760,2
2115895,15799551,3
2115895,15853551,4
2115895,16948090,5
2115898,14414131,1
2115899,14419099,1
2115899,14478557,2
2115899,17114447,3
2115902,14414247,1
2115902,14899989,2
2115902,16126978,3
2115902,16433905,4
2115902,16998966,5
2115904,14414204,1
2115907,14418581,1
2115907,14549052,2
2115907,14782811,3
2115907,14826684,4
2115907,15101631,5
2115907,15126335,6
2115907,15408304,7
2115907,15543990,8
2115907,15767759,9
2115907,15924572,10
2115907,16888454,11
2115907,17086999,12
2115907,17414371,13
2115907,17462741,14
2115907,17520058,15
2115908,14414398,1
2115908,14416588,2
2115908,14598148,3
2115908,14598325,4
2115908,14844906,5
2115908,14861605,6
2115908,15501160,7
2115908,15601067,8
2115908,15864173,9
2115908,15985553,10
2115908,16008880,11
2115908,16540401,12
2115908,16956465,13
2115908,16989050,14
2115908,17005832,15
2115908,17008606,16
2115908,17012943,17
2115908,17051663,18
2115908,17076297,19
2115908,17114422,20
2115908,17436737,21
2115914,14451856,1
2115914,14721512,2
2115914,14829046,3
2115914,15013082,4
2115914,15364942,5
2115914,15532942,6
2115914,16066850,7
2115914,16542868,8
2115915,14688948,1
2115919,15469652,1
2115919,15480212,2
2115922,14415024,1
2115926,15298153,1
2115926,16940492,2
2115928,14414947,1
2115928,14417306,2
2115928,14643008,3
2115930,14414446,1
2115931,14416949,1
2115932,14414532,1
2115934,14485988,1
2115934,15630017,2
2115935,14414530,1
2115935,14456205,2
2115935,14641687,3
2115940,14414577,1
2115941,14420068,1
2115941,16219301,2
2115941,16844902,3
2115942,14415076,1
2115943,14854053,1
2115943,15107660,2
2115947,14414571,1
2115948,14414984,1
2115948,14429927,2
2115948,14505467,3
2115948,14506113,4
2115948,14587647,5
2115951,17448446,1
2115952,14414599,1
2115954,14415854,1
2115955,14452875,1
2115955,14647307,2
2115955,16287132,3
2115955,16417258,4
2115955,16755898,5
2115958,14414852,1
2115961,14414730,1
2115961,14467558,2
2115961,15226171,3
2115961,15467510,4
2115961,15497293,5
2115961,15561818,6
2115961,16624168,7
2115961,17327406,8
2115965,14415311,1
2115965,17428277,2
2115966,14415042,1
2115969,14964363,1
2115969,15069235,2
2115969,16175620,3
2115969,16497509,4
2115969,16710020,5
2115971,16686820,1
2115972,14415207,1
2115976,14415073,1
2115985,14415542,1
2115986,14429914,1
2115986,15701935,2
2115986,16402537,3
2115986,16448645,4
2115986,16472853,5
2115986,16545356,6
2115986,16600733,7
2115986,16741112,8
2115986,16830773,9
2115986,16894420,10
2115986,16919286,11
2115986,17031200,12
2115986,17038349,13
2115986,17081223,14
2115986,17229337,15
2115986,17276437,16
2115992,14890505,1
2115992,15611001,2
2115992,15964845,3
2115992,15965310,4
2115992,16452737,5
2115992,16848336,6
2115992,17266476,7
2115993,17514732,1
2115999,14415718,1
2115999,15363422,2
2115999,15410829,3
2115999,15466006,4
2115999,16101980,5
2115999,16831754,6
2116000,14415437,1
2116000,14792927,2
2116000,15112289,3
2116001,14426822,1
2116008,14415450,1
2116008,14416059,2
2116012,14415425,1
2116012,14722658,2
2116012,14835429,3
2116012,15132621,4
2116012,17189631,5
2116012,17438481,6
2116013,14419419,1
2116014,14415789,1
2116014,14796600,2
2116014,14824093,3
2116014,15018060,4
2116014,15173642,5
2116014,15195654,6
2116014,15239084,7
2116014,15643893,8
2116014,17225574,9
2116014,17271336,10
2116017,14415811,1
2116017,15796157,2
2116020,14420874,1
2116020,14597950,2
2116020,14677079,3
2116020,15371803,4
2116020,16754748,5
2116020,16842864,6
2116020,17267806,7
2116020,17349676,8
2116024,14415700,1
2116025,14562409,1
2116025,14566433,2
2116026,14418611,1
2116027,14561780,1
2116027,15358503,2
2116029,14416435,1
2116031,14417364,1
2116031,14447794,2
2116031,14910766,3
2116039,14425281,1
2116039,14489132,2
2116039,14559521,3
2116039,14685697,4
2116039,14733489,5
2116039,14779701,6
2116039,15070924,7
2116039,15174277,8
2116039,15446959,9
2116039,16023196,10
2116039,16792918,11
2116039,17364031,12
2116039,17402559,13
2116042,14593817,1
2116042,14606744,2
2116042,14694030,3
2116046,15415259,1
2116047,14445101,1
2116047,14613221,2
2116049,17434072,1
2116049,17434292,2
2116049,17486948,3
2116053,14415662,1
2116053,14484267,2
2116053,14507100,3
2116053,14662021,4
2116053,14731575,5
2116053,14838782,6
2116054,14415858,1
2116056,16200139,1
2116063,14416007,1
2116063,15371874,2
2116066,14586272,1
2116069,14416954,1
2116072,14420392,1
2116077,14416264,1
2116079,14417122,1
2116079,14648944,2
2116079,16504081,3
2116085,14416262,1
2116089,14416249,1
2116090,14418349,1
2116091,14417066,1
2116094,14416605,1
2116096,16019174,1
2116099,14618615,1
2116103,14417764,1
2116103,14776263,2
2116106,14871342,1
2116108,14911858,1
2116109,14421540,1
2116112,15637276,1
2116116,15026209,1
2116116,15307276,2
2116116,15508588,3
2116116,15514020,4
2116116,15527775,5
2116116,15528031,6
2116116,15531785,7
2116116,15549144,8
2116116,15554828,9
2116116,15555472,10
2116116,15568885,11
2116116,15653528,12
2116116,15653831,13
2116116,15741935,14
2116116,15920435,15
2116116,15920806,16
2116116,16023868,17
2116116,16054181,18
2116119,14418205,1
2116121,14417546,1
2116121,14417690,2
2116122,14421187,1
2116122,14573807,2
2116122,14828101,3
2116122,15616568,4
2116126,14418668,1
2116126,14737202,2
2116130,14417589,1
2116130,15302260,2
2116132,15125910,1
2116135,14416878,1
2116135,14434377,2
2116135,14444436,3
2116135,14448333,4
2116135,14503085,5
2116135,15202030,6
2116135,15753166,7
2116136,14417718,1
2116136,14784461,2
2116136,15883483,3
2116138,14428527,1
2116139,14417013,1
2116140,16410799,1
2116140,16492166,2
2116143,14417050,1
2116143,14466454,2
2116143,14527547,3
2116143,14662535,4
2116143,15073483,5
2116143,15279948,6
2116143,15577346,7
2116143,16844640,8
2116143,17132832,9
2116144,14525423,1
2116145,14423541,1
2116145,14683367,2
2116145,16800773,3
2116146,14419335,1
2116146,14517577,2
2116146,15170263,3
2116146,15829099,4
2116146,16236070,5
2116149,14438046,1
2116150,14417354,1
2116150,17409616,2
2116154,15948438,1
2116157,14418103,1
2116157,14589855,2
2116157,15185612,3
2116157,15348236,4
2116157,16407999,5
2116157,16759387,6
2116160,14418830,1
2116160,14524130,2
2116160,15359598,3
2116160,16196688,4
2116160,16503367,5
2116160,16549892,6
2116160,16609801,7
2116162,14424533,1
2116165,14418125,1
2116165,14535779,2
2116165,15413361,3
2116165,15734775,4
2116165,15883811,5
2116165,16590143,6
2116165,17134565,7
2116167,15649588,1
2116167,16207545,2
2116167,16464754,3
2116170,14418206,1
2116170,16614054,2
2116170,17217207,3
2116170,17445638,4
2116174,14575458,1
2116174,14868415,2
2116174,14887076,3
2116174,15168535,4
2116174,15211813,5
2116174,15418103,6
2116174,15617696,7
2116174,15743761,8
2116174,15770231,9
2116174,15916046,10
2116174,16092619,11
2116174,16329512,12
2116174,16418367,13
2116174,16512847,14
2116174,16553903,15
2116174,16673493,16
2116174,16836700,17
2116174,16889729,18
2116174,16925521,19
2116174,17021823,20
2116174,17091474,21
2116174,17110159,22
2116174,17141574,23
2116174,17197363,24
2116174,17253556,25
2116174,17271865,26
2116174,17345577,27
2116176,14417799,1
2116176,16563748,2
2116177,14418595,1
2116177,15422429,2
2116185,14418639,1
2116185,15195176,2
2116185,16332666,3
2116185,16342717,4
2116185,16576851,5
2116185,16596049,6
2116185,16624976,7
2116190,14418124,1
2116190,15131275,2
2116196,14420181,1
2116196,14783825,2
2116196,16509338,3
2116196,17091411,4
2116197,14688654,1
2116197,15056590,2
2116198,14417851,1
2116198,14422088,2
2116202,14418599,1
2116202,14444041,2
2116202,14517358,3
2116202,15120850,4
2116204,14606987,1
2116205,14418117,1
2116206,16219809,1
2116206,16452978,2
2116207,16334553,1
2116210,15934982,1
2116213,14418409,1
2116216,16832419,1
2116217,16054990,1
2116217,16135099,2
2116217,16280638,3
2116219,14418661,1
2116221,14418358,1
2116221,14425994,2
2116221,14686071,3
2116221,15622376,4
2116221,16095489,5
2116221,16381121,6
2116221,16647379,7
2116221,16714511,8
2116221,16846795,9
2116221,16992421,10
2116221,17099021,11
2116221,17269820,12
2116225,14419162,1
2116225,15070094,2
2116225,15265210,3
2116226,14418460,1
2116226,14571287,2
2116226,15383590,3
2116226,15552944,4
2116226,15791539,5
2116226,15861832,6
2116226,15886906,7
2116226,16070176,8
2116226,16103969,9
2116226,16200226,10
2116226,16655771,11
2116226,16728864,12
2116226,17108597,13
2116226,17362828,14
2116227,14427441,1
2116228,14443800,1
2116228,15006891,2
2116228,16537266,3
2116228,16790241,4
2116228,16985542,5
2116229,14684938,1
2116231,14418571,1
2116232,14424775,1
2116232,15948334,2
2116232,17414730,3
2116233,17202527,1
2116235,14419098,1
2116235,14979082,2
2116235,15239471,3
2116235,16276462,4
2116235,16746777,5
2116235,16813844,6
2116239,15334273,1
2116240,14419434,1
2116240,15575272,2
2116240,16890473,3
2116240,17514376,4
2116241,14418968,1
2116243,14418838,1
2116244,14418638,1
2116246,14422299,1
2116250,14849676,1
2116250,15194851,2
2116250,15385793,3
2116250,15419269,4
2116250,16858940,5
2116251,14419671,1
2116251,15580874,2
2116252,14450668,1
2116258,14419724,1
2116259,14419186,1
2116259,15313946,2
2116261,14419222,1
2116261,16706951,2
2116261,17298979,3
2116262,14476330,1
2116264,14419828,1
2116264,15010281,2
2116273,14419799,1
2116274,14419538,1
2116274,15226068,2
2116274,15336816,3
2116274,15986682,4
2116274,16199711,5
2116274,16314954,6
2116274,16770113,7
2116276,14419625,1
2116278,14420305,1
2116278,14420660,2
2116280,16680265,1
2116281,14420313,1
2116281,14534672,2
2116281,14658539,3
2116281,14798919,4
2116281,14903226,5
2116281,14905347,6
2116281,15017421,7
2116281,15317347,8
2116281,15377076,9
2116281,15377528,10
2116281,15427133,11
2116281,15681053,12
2116281,15802593,13
2116281,16052481,14
2116281,16096531,15
2116281,16644051,16
2116281,16741872,17
2116281,17312879,18
2116284,16025460,1
2116284,16254063,2
2116284,16254881,3
2116285,14419243,1
2116285,15163387,2
2116285,15470436,3
2116285,16316405,4
2116286,14419265,1
2116286,15574880,2
2116286,15577325,3
2116286,17413528,4
2116287,14447197,1
2116290,16843282,1
2116291,14420216,1
2116291,15455301,2
2116291,15793720,3
2116291,16726360,4
2116291,16790972,5
2116291,17224153,6
2116291,17288119,7
2116293,14419525,1
2116294,14420767,1
2116297,14580526,1
2116299,14420122,1
2116300,14420928,1
2116301,14419584,1
2116302,14588961,1
2116303,16124676,1
2116303,17282592,2
2116304,14420203,1
2116305,14420337,1
2116308,14425417,1
2116308,14428039,2
2116308,14428976,3
2116309,14420911,1
2116310,14420256,1
2116310,16276957,2
2116311,14422965,1
2116313,14420654,1
2116313,15548577,2
2116313,15548860,3
2116313,17474834,4
2116313,17543480,5
2116313,17543722,6
2116315,14441028,1
2116315,15150931,2
2116315,15680443,3
2116315,16037596,4
2116315,16922728,5
2116316,14420189,1
2116316,14820326,2
2116316,15617996,3
2116316,15829215,4
2116316,16043087,5
2116316,16129640,6
2116316,16332457,7
2116316,16517186,8
2116316,16548072,9
2116316,16950594,10
2116316,17032488,11
2116316,17116232,12
2116318,16695514,1
2116320,15245804,1
2116321,14421913,1
2116321,15508778,2
2116321,16101331,3
2116322,14422634,1
2116322,14876133,2
2116322,16281311,3
2116322,17465164,4
2116322,17522565,5
2116323,14421817,1
2116326,14420468,1
2116327,14420624,1
2116327,15285102,2
2116327,16337134,3
2116328,14728828,1
2116328,15386735,2
2116328,15575133,3
2116328,15907204,4
2116329,14420222,1
2116330,14433039,1
2116331,14422653,1
2116331,14532124,2
2116331,14566369,3
2116331,14652047,4
2116331,14681924,5
2116335,15306562,1
2116335,15442731,2
2116335,15995994,3
2116335,16062811,4
2116335,16516990,5
2116335,16953540,6
2116335,17091223,7
2116335,17226738,8
2116337,14421507,1
2116340,14425934,1
2116343,14421695,1
2116345,14420566,1
2116345,15930225,2
2116345,17115283,3
2116351,14420944,1
2116351,14594889,2
2116351,14680137,3
2116351,15104899,4
2116351,17138266,5
2116352,14420656,1
2116352,15005441,2
2116352,15065615,3
2116352,15143286,4
2116352,15172231,5
2116352,15393252,6
2116352,15440661,7
2116352,15519085,8
2116352,15590882,9
2116352,15605929,10
2116352,15693969,11
2116352,15941136,12
2116352,16121089,13
2116352,16281150,14
2116352,16807923,15
2116352,16874918,16
2116352,16907423,17
2116352,17014182,18
2116353,15539406,1
2116354,14421443,1
2116354,14624985,2
2116354,15973589,3
2116354,16288148,4
2116359,14420787,1
2116359,14659015,2
2116360,14421036,1
2116360,14951593,2
2116360,15011264,3
2116360,15612572,4
2116360,16128389,5
2116360,16563047,6
2116360,16993248,7
2116362,15044988,1
2116363,14420869,1
2116363,16634774,2
2116364,14421223,1
2116364,14557683,2
2116368,14887265,1
2116368,15025515,2
2116368,15504646,3
2116368,15789841,4
2116368,15982710,5
2116369,14557266,1
2116370,14421809,1
2116372,14421080,1
2116374,14421898,1
2116374,14624679,2
2116374,14895346,3
2116374,15327697,4
2116374,16111705,5
2116374,16442186,6
2116374,16474880,7
2116374,16740467,8
2116374,16928984,9
2116374,16996332,10
2116374,17026614,11
2116374,17353791,12
2116376,14421726,1
2116376,14595156,2
2116376,14597486,3
2116376,17022769,4
2116377,14421459,1
2116377,15234744,2
2116377,16095572,3
2116377,16096346,4
2116377,16285424,5
2116377,16597673,6
2116378,14422228,1
2116379,14421847,1
2116379,15420092,2
2116379,15634245,3
2116379,15924129,4
2116380,14423562,1
2116382,14422335,1
2116382,14428366,2
2116384,16511168,1
2116385,14422353,1
2116385,14722874,2
2116385,15014125,3
2116385,15793271,4
2116385,16333861,5
2116385,16334201,6
2116385,17035706,7
2116386,14421490,1
2116390,14422911,1
2116392,14423403,1
2116393,16863918,1
2116394,14421844,1
2116395,14422318,1
2116398,14422254,1
2116398,14806602,2
2116398,15079617,3
2116398,16636766,4
2116398,17264528,5
2116398,17348180,6
2116399,14854124,1
2116399,15736026,2
2116399,15925396,3
2116399,16295575,4
2116399,17475913,5
2116400,14421851,1
2116400,14768119,2
2116400,15126860,3
2116400,16747806,4
2116404,14423699,1
2116404,16140668,2
2116405,14424216,1
2116405,16308440,2
2116405,17538871,3
2116408,14423822,1
2116411,14427010,1
2116411,14451600,2
2116411,14840383,3
2116411,14854000,4
2116411,15409140,5
2116411,15916740,6
2116411,16096335,7
2116411,16739636,8
2116411,16895036,9
2116411,16970744,10
2116411,17443927,11
2116412,14422387,1
2116415,15108552,1
2116416,14423496,1
2116416,14428754,2
2116417,14422546,1
2116417,14563462,2
2116417,14734807,3
2116417,14965205,4
2116417,15910762,5
2116417,15958072,6
2116417,16051025,7
2116417,16323891,8
2116417,16389312,9
2116417,16713465,10
2116417,16775334,11
2116417,16900534,12
2116417,17188465,13
2116420,14423005,1
2116420,16313118,2
2116420,16908169,3
2116421,14422707,1
2116424,14423468,1
2116425,14424443,1
2116425,14447071,2
2116425,16235648,3
2116426,14560220,1
2116427,14598079,1
2116427,14997933,2
2116427,15114612,3
2116427,16014900,4
2116429,14867985,1
2116429,16193619,2
2116430,14422881,1
2116433,14424296,1
2116435,14867365,1
2116435,15001417,2
2116435,15895176,3
2116436,14423619,1
2116437,14464228,1
2116437,14840835,2
2116439,14425358,1
2116439,15717914,2
2116439,16134219,3
2116439,16564008,4
2116439,16816814,5
2116441,16279994,1
2116443,14571205,1
2116443,14828007,2
2116444,14426043,1
2116445,14424379,1
2116445,14424984,2
2116445,15284563,3
2116446,16963142,1
2116448,14423486,1
2116454,14423751,1
2116454,14494649,2
2116454,14749084,3
2116455,15022453,1
2116455,16655311,2
2116459,14423760,1
2116459,15423969,2
2116459,17520027,3
2116462,14425536,1
2116462,14501783,2
2116462,14544952,3
2116462,14615111,4
2116462,14673625,5
2116464,14425687,1
2116468,14424683,1
2116468,16048561,2
2116468,16443950,3
2116468,17503414,4
2116470,14423719,1
2116474,14424583,1
2116474,14526126,2
2116478,14424006,1
2116478,15424007,2
2116478,15665922,3
2116482,14425389,1
2116485,14424043,1
2116488,14424651,1
2116491,14988066,1
2116492,14558640,1
2116492,15779764,2
2116492,15851019,3
2116492,15851178,4
2116492,16180491,5
2116497,15867513,1
2116502,15255230,1
2116502,15297816,2
2116502,15366266,3
2116502,15430860,4
2116502,15801783,5
2116502,15965178,6
2116502,16428416,7
2116502,16447296,8
2116502,16568174,9
2116502,16792182,10
2116502,17266669,11
2116502,17306430,12
2116502,17362964,13
2116506,14424229,1
2116507,14425164,1
2116507,14781700,2
2116507,15417719,3
2116507,16764435,4
2116508,14424008,1
2116509,14424645,1
2116510,14430305,1
2116512,14424224,1
2116513,14424454,1
2116513,15371552,2
2116513,15552095,3
2116513,16053399,4
2116513,16096053,5
2116514,14424305,1
2116515,14424121,1
2116516,14425667,1
2116516,14457270,2
2116519,14425728,1
2116520,14424430,1
2116520,14898984,2
2116520,14976164,3
2116520,15247218,4
2116520,15693467,5
2116520,16456921,6
2116520,16634972,7
2116526,14425534,1
