createdat,orderid,restaurantstatus,paymentmethod,subtotal,customerid,restaurantname,customeraddressprovince,restaurantacceptedat,foodpreparedpromised,podactual
2019-10-11 14:48:57,16779896,none,none,64.0,2115439,Nando's Kloof St,Cape Town,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-17 12:56:58,17017223,none,none,84.0,2115439,Active Sushi on Bree,Western Cape,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-17 13:04:05,17017669,restaurant_accepted,credit,84.0,2115439,Active Sushi on Bree,Western Cape,2019-10-17 13:10:00,2019-10-17 13:25:00,2019-10-17 13:33:58
2019-10-18 17:41:19,17082841,restaurant_accepted,credit,156.2,2115439,McDonald's Kenilworth,Cape Town,2019-10-18 17:46:43,2019-10-18 18:03:43,2019-10-18 18:10:14
2019-08-14 13:03:55,14409459,restaurant_accepted,instant_eft,417.6,2115440,Steers Kraaifontein,Western Cape,2019-08-14 13:17:24,2019-08-14 13:32:24,2019-08-14 14:24:42
2019-08-15 12:15:46,14435632,none,none,84.9,2115442,KFC Grey Owl,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-15 12:23:54,14436040,restaurant_accepted,cash,84.9,2115442,KFC Grey Owl,Gauteng,2019-08-15 12:26:39,2019-08-15 12:41:39,2019-08-15 13:16:54
2019-10-09 11:26:18,16687915,restaurant_accepted,cash,55.9,2115442,McDonald's Grey Owl,Gauteng,2019-10-09 11:29:36,2019-10-09 11:44:36,2019-10-09 11:45:41
2019-08-14 13:05:11,14409502,none,credit,72.49,2115443,Burger King Sasol Malanshof,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:09:44,14409695,restaurant_accepted,credit,106.59,2115443,Burger King Sasol Malanshof,Gauteng,2019-08-14 13:12:32,2019-08-14 13:27:32,2019-08-14 13:30:03
2019-08-15 13:15:38,14438278,restaurant_accepted,credit,92.9,2115443,KFC Randburg Taxi,Gauteng,2019-08-15 13:21:08,2019-08-15 13:36:08,2019-08-15 13:45:31
2019-09-19 12:26:07,15815682,none,credit,105.0,2115443,Nando's Cresta Shopping Centre,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-19 12:59:35,15817430,none,none,104.8,2115443,KFC Randburg Taxi,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-19 13:01:31,15817559,none,credit,104.8,2115443,KFC Randburg Taxi,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-25 13:59:49,16075675,restaurant_accepted,credit,113.8,2115443,Burger King Sasol Malanshof,Gauteng,2019-09-25 14:03:13,2019-09-25 14:18:13,2019-09-25 14:34:59
2019-09-30 13:18:28,16320570,restaurant_accepted,credit,72.9,2115443,Burger King Sasol Malanshof,Gauteng,2019-09-30 13:20:32,2019-09-30 13:35:32,2019-09-30 13:39:22
2019-08-14 13:06:02,14409535,restaurant_accepted,credit,87.9,2115445,McDonald's Polokwane CBD,Limpopo,2019-08-14 13:08:57,2019-08-14 13:23:57,2019-08-14 13:32:53
2019-09-02 10:49:51,15190930,restaurant_accepted,credit,108.9,2115445,McDonald's Polokwane CBD,Limpopo,2019-09-02 10:51:37,2019-09-02 11:06:37,2019-09-02 11:31:11
2019-09-11 18:50:26,15546009,restaurant_accepted,credit,322.0,2115445,Nando's Pietersburg,Limpopo,2019-09-11 18:54:50,2019-09-11 19:17:50,2019-09-11 19:26:51
2019-09-13 17:42:41,15616397,restaurant_accepted,credit,219.9,2115445,Steers Library Gardens,Limpopo,2019-09-13 17:43:35,2019-09-13 18:08:35,2019-09-13 18:13:35
2019-09-17 09:03:59,15747039,restaurant_accepted,cash,80.9,2115445,Wimpy Cycad,Limpopo,2019-09-17 09:04:45,2019-09-17 09:19:45,2019-09-17 09:36:23
2019-08-30 12:39:55,15047469,restaurant_accepted,cash,61.8,2115449,KFC Rynfield,(null),2019-08-30 12:52:08,2019-08-30 13:07:08,2019-08-30 13:07:42
2019-08-14 13:11:25,14409759,none,none,114.0,2115451,Pizza Perfect Blu Valley Mall,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:16:05,14409934,restaurant_accepted,cash,114.0,2115451,Pizza Perfect Blu Valley Mall,Gauteng,2019-08-14 13:20:15,2019-08-14 13:40:15,2019-08-14 13:57:11
2019-08-15 19:38:21,14457752,restaurant_accepted,cash,141.7,2115451,Fishaways Blu Valley,Gauteng,2019-08-15 19:40:40,2019-08-15 20:10:40,2019-08-15 20:33:56
2019-08-22 19:01:45,14687327,restaurant_accepted,cash,84.8,2115451,Fishaways Blu Valley,Gauteng,2019-08-22 19:04:20,2019-08-22 19:24:20,2019-08-22 19:39:27
2019-08-30 20:32:20,15092840,restaurant_accepted,cash,89.9,2115451,Fishaways Blu Valley,Gauteng,2019-08-30 20:34:01,2019-08-30 20:49:01,2019-08-30 21:01:51
2019-08-14 13:14:50,14409887,none,none,89.0,2115452,Nando's Waterfall,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:17:21,14409981,restaurant_accepted,cash,100.0,2115452,Nando's Waterfall,Gauteng,2019-08-14 13:21:11,2019-08-14 13:36:11,2019-08-14 13:46:58
2019-08-23 16:48:45,14723193,none,none,91.0,2115453,Kauai Kolonnade Retail Park,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-23 16:52:37,14723463,none,credit,91.0,2115453,Kauai Kolonnade Retail Park,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-23 17:24:18,14726428,none,none,91.0,2115453,Kauai Kolonnade Retail Park,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-23 17:27:14,14726755,none,none,91.0,2115453,Kauai Kolonnade Retail Park,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-23 17:28:08,14726858,none,none,91.0,2115453,Kauai Kolonnade Retail Park,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-24 14:20:56,16030954,none,none,155.9,2115453,Kung Fu Kitchen Montana,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-24 14:31:54,16031658,none,none,155.9,2115453,Kung Fu Kitchen Montana,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-24 14:47:53,16032537,none,none,155.9,2115453,Kung Fu Kitchen Montana,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-24 17:12:17,16040943,restaurant_accepted,cash,155.9,2115453,Kung Fu Kitchen Montana,Gauteng,2019-09-24 17:14:26,2019-09-24 17:29:26,2019-09-24 17:32:53
2019-09-25 16:17:18,16081398,none,none,99.0,2115453,Yami Rib & Burger Sinnovile,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-25 16:18:47,16081473,restaurant_accepted,cash,99.0,2115453,Yami Rib & Burger Sinnovile,Gauteng,2019-09-25 16:20:09,2019-09-25 16:40:09,2019-09-25 16:52:34
2019-10-01 17:51:41,16373181,restaurant_accepted,cash,99.0,2115453,Yami Rib & Burger Montana,Gauteng,2019-10-01 17:52:10,2019-10-01 18:07:10,2019-10-01 18:26:10
2019-10-03 17:20:47,16451952,restaurant_accepted,cash,117.0,2115453,Panda Kitchen Zambezi Drive,Gauteng,2019-10-03 17:23:07,2019-10-03 17:43:07,2019-10-03 17:55:45
2019-10-04 17:07:00,16500641,none,none,92.0,2115453,Rocomamas Kolonnade Mall,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-04 17:11:37,16501080,none,none,135.95,2115453,Burger Bistro Montana,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-04 17:26:00,16502547,restaurant_accepted,credit,76.0,2115453,Yami Rib & Burger Montana,Gauteng,2019-10-04 17:27:34,2019-10-04 17:42:34,2019-10-04 17:51:08
2019-10-10 17:37:15,16745794,restaurant_accepted,credit,76.0,2115453,Yami Rib & Burger Montana,Gauteng,2019-10-10 17:38:03,2019-10-10 17:53:03,2019-10-10 18:00:50
2019-10-13 17:53:00,16889037,none,credit,133.8,2115453,Burger King Kolonnade (Drive-thru),Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-13 17:53:52,16889111,restaurant_accepted,credit,133.8,2115453,Burger King Kolonnade (Drive-thru),Gauteng,2019-10-13 17:55:36,2019-10-13 18:10:37,2019-10-13 18:31:28
2019-10-13 17:56:27,16889350,restaurant_accepted,credit,97.8,2115453,KFC Doornpoort,Gauteng,2019-10-13 17:57:28,2019-10-13 18:12:28,2019-10-13 18:24:37
2019-10-16 18:01:10,16991896,none,none,137.8,2115453,Kung Fu Kitchen Montana,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-16 18:21:11,16993757,none,none,137.8,2115453,Kung Fu Kitchen Montana,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-18 11:27:24,17057033,restaurant_accepted,credit,54.9,2115453,KFC Doornpoort,Gauteng,2019-10-18 11:28:31,2019-10-18 11:43:31,2019-10-18 12:31:08
2019-10-18 16:19:12,17074791,restaurant_accepted,credit,137.8,2115453,Kung Fu Kitchen Montana,Gauteng,2019-10-18 16:22:14,2019-10-18 16:37:14,2019-10-18 16:57:45
2019-08-14 13:15:08,14409903,none,none,78.0,2115455,Nando's Berea Center,Berea,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:20:16,14410090,none,none,89.0,2115455,Nando's Berea Center,Berea,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:23:03,14410189,restaurant_accepted,cash,102.0,2115455,Nando's Berea Center,Berea,2019-08-14 13:25:00,2019-08-14 13:40:00,2019-08-14 13:45:43
2019-08-20 11:55:57,14606509,restaurant_accepted,cash,49.9,2115457,McDonald's Parktown,Gauteng,2019-08-20 11:58:25,2019-08-20 12:13:25,2019-08-20 12:53:56
2019-08-29 12:40:30,14995686,none,none,173.4,2115458,KFC Davenport Square,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-29 12:42:00,14995809,none,none,139.6,2115458,KFC Davenport Square,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-29 12:44:38,14996025,none,none,69.8,2115458,KFC Davenport Square,KwaZulu-Natal,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-29 12:58:18,14997101,restaurant_accepted,cash,139.6,2115458,KFC Davenport Square,KwaZulu-Natal,2019-08-29 13:12:06,2019-08-29 13:27:06,2019-08-29 14:10:42
2019-10-21 13:03:07,17211915,none,none,99.9,2115459,Steers Sterland,(null),0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-03 11:08:28,15224350,restaurant_accepted,credit,224.3,2115460,Fukuda Chinese,Gauteng,2019-09-03 11:11:39,2019-09-03 11:29:39,2019-09-03 12:13:35
2019-08-14 13:17:32,14409991,none,none,261.0,2115461,Tomo Izakaya Asian Kitchen & Sushi Bar,Midrand,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:18:14,14410016,restaurant_accepted,credit,319.98,2115461,Checkers LiquorShop Waterfall Corner (Over 18's Only) 34930,Midrand,2019-08-14 13:25:05,2019-08-14 13:40:05,2019-08-14 13:49:52
2019-09-09 18:13:07,15482411,none,none,96.6,2115461,McDonald's Victory Park,Randburg,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:14:57,14409890,none,credit,105.8,2115465,Steers Signet Terrace,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:19:29,14410066,none,none,105.8,2115465,Steers Signet Terrace,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:19:53,14410076,restaurant_accepted,credit,105.8,2115465,Steers Signet Terrace,Gauteng,2019-08-14 13:23:05,2019-08-14 13:43:05,2019-08-14 13:58:09
2019-08-15 12:29:57,14436333,none,none,109.3,2115465,Jimmy's Killer Fish & Chips Signet Terrace,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-15 12:43:15,14436994,none,none,143.9,2115465,Roman's Pizza Lenasia,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-21 13:59:33,14641028,none,none,395.7,2115465,Roman's Pizza Lenasia,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-06 14:32:47,16590554,restaurant_accepted,cash,87.8,2115465,KFC Lenasia,Gauteng,2019-10-06 14:33:58,2019-10-06 14:48:58,2019-10-06 15:00:47
2019-10-13 14:04:29,16875662,restaurant_accepted,credit,65.9,2115465,Roman's Pizza Lenasia,Gauteng,2019-10-13 14:05:54,2019-10-13 14:31:54,2019-10-13 14:46:40
2019-10-21 14:38:41,17216399,none,none,82.8,2115465,Roman's Pizza Lenasia,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-10-21 14:40:36,17216480,restaurant_accepted,cash,65.9,2115465,Roman's Pizza Lenasia,Gauteng,2019-10-21 14:42:52,2019-10-21 14:59:52,2019-10-21 15:05:28
2019-08-14 13:13:45,14409846,restaurant_accepted,cash,112.7,2115466,McDonald's Pretoria CBD,Gauteng,2019-08-14 13:15:02,2019-08-14 13:30:02,2019-08-14 13:47:15
2019-08-14 13:14:15,14409864,restaurant_accepted,cash,126.9,2115467,Mochachos Sunninghill Village,Gauteng,2019-08-14 13:17:27,2019-08-14 13:47:27,2019-08-14 13:54:59
2019-08-14 13:13:10,14409814,none,none,118.8,2115469,Roman's Pizza  Southdowns,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:18:47,14410039,restaurant_accepted,cash,118.8,2115469,Roman's Pizza  Southdowns,Gauteng,2019-08-14 13:20:47,2019-08-14 13:35:47,2019-08-14 13:59:37
2019-08-24 14:56:40,14768853,restaurant_accepted,cash,74.8,2115469,Mochachos Centurion Mall,Gauteng,2019-08-24 15:00:17,2019-08-24 15:15:17,2019-08-24 15:38:04
2019-08-14 13:17:34,14409993,none,none,76.3,2115470,McDonald's Louis Botha Ave,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 13:22:46,14410173,none,cash,76.3,2115470,McDonald's Louis Botha Ave,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-08-14 14:02:26,14411366,restaurant_accepted,cash,76.3,2115470,McDonald's Louis Botha Ave,Gauteng,2019-08-14 14:03:21,2019-08-14 14:18:21,2019-08-14 14:42:08
2019-08-28 13:15:17,14934810,restaurant_accepted,cash,101.0,2115470,Rocomamas Halaal Melrose Arch,Gauteng,2019-08-28 13:19:28,2019-08-28 13:35:28,2019-08-28 13:48:49
2019-09-11 09:37:04,15521240,none,none,40.9,2115470,Burger King Norwood,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
2019-09-11 09:37:59,15521253,none,none,51.9,2115470,Burger King Norwood,Gauteng,0000/00/00  00:00:00,0000/00/00  00:00:00,0000/00/00  00:00:00
